Histórico de rolagens para Nicolle

Sessão 1:
Rolagem 13: 6
Rolagem 14: 17
Rolagem 15: 8
Rolagem 16: 7
Rolagem 17: 5
Rolagem 18: 9
Rolagem 19: 18
Rolagem 20: 19
Rolagem 21: 8
Rolagem 22: 11
Rolagem 23: 16
Rolagem 24: 14
Rolagem 25: 19
Rolagem 26: 10
Rolagem 27: 17
Rolagem 28: 19
Rolagem 29: 1
Rolagem 30: 3
Rolagem 31: 16
Rolagem 32: 13
Rolagem 33: 5
Rolagem 34: 3
Rolagem 35: 8
Rolagem 36: 11
Rolagem 37: 20
Rolagem 38: 14
Rolagem 39: 10
Rolagem 40: 20

