Histórico de rolagens para Imugi

Sessão 1:
Rolagem 3: 14
Rolagem 4: 12
Rolagem 5: 2
Rolagem 6: 12
Rolagem 7: 14
Rolagem 8: 13
Rolagem 9: 20
Rolagem 10: 14
Rolagem 11: 2
Rolagem 12: 17
Rolagem 13: 10
Rolagem 14: 17
Rolagem 15: 12
Rolagem 16: 20
Rolagem 17: 8
Rolagem 18: 10
Rolagem 19: 10
Rolagem 20: 18
Rolagem 21: 19
Rolagem 22: 16
Rolagem 23: 19
Rolagem 24: 6
Rolagem 25: 14
Rolagem 26: 8
Rolagem 27: 1
Rolagem 28: 3
Rolagem 29: 16
Rolagem 30: 2
Rolagem 31: 9
Rolagem 32: 20
Rolagem 33: 14
Rolagem 34: 2
Rolagem 35: 14
Rolagem 36: 16
Rolagem 37: 3
Rolagem 38: 2
Rolagem 39: 20
Rolagem 40: 4

