Histórico de rolagens para Mestre

Sessão 1:
Rolagem 150: 6

Sessão 6:
Rolagem 1: 5
Rolagem 2: 20
Rolagem 3: 20
Rolagem 4: 8
Rolagem 5: 5
Rolagem 6: 16
Rolagem 7: 19
Rolagem 8: 8
Rolagem 9: 18
Rolagem 10: 2
Rolagem 11: 19
Rolagem 12: 3
Rolagem 13: 16
Rolagem 14: 16
Rolagem 15: 20
Rolagem 16: 7
Rolagem 17: 4
Rolagem 18: 18
Rolagem 19: 14
Rolagem 20: 1
Rolagem 21: 13
Rolagem 22: 12
Rolagem 23: 11
Rolagem 24: 16
Rolagem 25: 11
Rolagem 26: 13
Rolagem 27: 15
Rolagem 28: 16
Rolagem 29: 16
Rolagem 30: 5
Rolagem 31: 6
Rolagem 32: 16
Rolagem 33: 20
Rolagem 34: 12
Rolagem 35: 4
Rolagem 36: 15
Rolagem 37: 7
Rolagem 38: 12
Rolagem 39: 17
Rolagem 40: 13

