Histórico de rolagens para Dean

Sessão 1:
Rolagem 36: 13
Rolagem 37: 12
Rolagem 38: 20
Rolagem 39: 1
Rolagem 40: 5
Rolagem 41: 11
Rolagem 42: 6
Rolagem 43: 17
Rolagem 44: 7
Rolagem 45: 18
Rolagem 46: 5
Rolagem 47: 16
Rolagem 48: 13
Rolagem 49: 8
Rolagem 50: 11
Rolagem 51: 3
Rolagem 52: 12
Rolagem 53: 14
Rolagem 54: 16
Rolagem 55: 4
Rolagem 56: 3
Rolagem 57: 4
Rolagem 58: 14
Rolagem 59: 1
Rolagem 60: 8
Rolagem 61: 8
Rolagem 62: 2
Rolagem 63: 10
Rolagem 64: 17
Rolagem 65: 1
Rolagem 66: 19
Rolagem 67: 6
Rolagem 68: 11
Rolagem 69: 20
Rolagem 70: 12
Rolagem 71: 1
Rolagem 72: 19
Rolagem 73: 7
Rolagem 74: 18
Rolagem 75: 3
Rolagem 76: 20
Rolagem 77: 3
Rolagem 78: 7
Rolagem 79: 12
Rolagem 80: 20
Rolagem 81: 17
Rolagem 82: 13
Rolagem 83: 4
Rolagem 84: 18
Rolagem 85: 9
Rolagem 86: 12
Rolagem 87: 2
Rolagem 88: 18
Rolagem 89: 10
Rolagem 90: 15
Rolagem 91: 12
Rolagem 92: 20
Rolagem 93: 2
Rolagem 94: 17
Rolagem 95: 18
Rolagem 96: 15
Rolagem 97: 16
Rolagem 98: 17
Rolagem 99: 6
Rolagem 100: 11
Rolagem 101: 10
Rolagem 102: 8
Rolagem 103: 19
Rolagem 104: 16
Rolagem 105: 2
Rolagem 106: 3
Rolagem 107: 19
Rolagem 108: 13
Rolagem 109: 17
Rolagem 110: 1
Rolagem 111: 17
Rolagem 112: 19
Rolagem 113: 6
Rolagem 114: 16
Rolagem 115: 5
Rolagem 116: 1
Rolagem 117: 11
Rolagem 118: 17
Rolagem 119: 12
Rolagem 120: 10
Rolagem 121: 6
Rolagem 122: 12
Rolagem 123: 3
Rolagem 124: 10
Rolagem 125: 14
Rolagem 126: 7
Rolagem 127: 14
Rolagem 128: 5
Rolagem 129: 20
Rolagem 130: 18
Rolagem 131: 4
Rolagem 132: 19
Rolagem 133: 8
Rolagem 134: 11
Rolagem 135: 20
Rolagem 136: 5
Rolagem 137: 14
Rolagem 138: 4
Rolagem 139: 12
Rolagem 140: 17
Rolagem 141: 10
Rolagem 142: 17
Rolagem 143: 10
Rolagem 144: 6
Rolagem 145: 5
Rolagem 146: 17
Rolagem 147: 16
Rolagem 148: 9
Rolagem 149: 19
Rolagem 150: 19

Sessão 4:
Rolagem 1: 8
Rolagem 2: 13
Rolagem 3: 9
Rolagem 4: 6
Rolagem 5: 5
Rolagem 6: 5
Rolagem 7: 17
Rolagem 8: 10
Rolagem 9: 18
Rolagem 10: 9
Rolagem 11: 7
Rolagem 12: 2
Rolagem 13: 17
Rolagem 14: 17
Rolagem 15: 7
Rolagem 16: 15
Rolagem 17: 3
Rolagem 18: 7
Rolagem 19: 7
Rolagem 20: 11
Rolagem 21: 17
Rolagem 22: 2
Rolagem 23: 14
Rolagem 24: 10
Rolagem 25: 5
Rolagem 26: 20
Rolagem 27: 7
Rolagem 28: 2
Rolagem 29: 20
Rolagem 30: 18
Rolagem 31: 15
Rolagem 32: 10
Rolagem 33: 16
Rolagem 34: 10
Rolagem 35: 19
Rolagem 36: 16
Rolagem 37: 6
Rolagem 38: 14
Rolagem 39: 17
Rolagem 40: 10

