Histórico de rolagens para Riley

Sessão 1:
Rolagem 38: 13
Rolagem 39: 11
Rolagem 40: 1
Rolagem 41: 14
Rolagem 42: 11
Rolagem 43: 5
Rolagem 44: 7
Rolagem 45: 17
Rolagem 46: 5
Rolagem 47: 17
Rolagem 48: 15
Rolagem 49: 4
Rolagem 50: 4

Sessão 3:
Rolagem 1: 16
Rolagem 2: 5
Rolagem 3: 5
Rolagem 4: 3
Rolagem 5: 3
Rolagem 6: 19
Rolagem 7: 11
Rolagem 8: 4
Rolagem 9: 13
Rolagem 10: 6
Rolagem 11: 11
Rolagem 12: 1
Rolagem 13: 15
Rolagem 14: 14
Rolagem 15: 5
Rolagem 16: 9
Rolagem 17: 11
Rolagem 18: 18
Rolagem 19: 17
Rolagem 20: 3
Rolagem 21: 4
Rolagem 22: 11
Rolagem 23: 14
Rolagem 24: 3
Rolagem 25: 5
Rolagem 26: 1
Rolagem 27: 7
Rolagem 28: 7
Rolagem 29: 11
Rolagem 30: 9
Rolagem 31: 12
Rolagem 32: 4
Rolagem 33: 9
Rolagem 34: 9
Rolagem 35: 6
Rolagem 36: 20
Rolagem 37: 20
Rolagem 38: 1
Rolagem 39: 1
Rolagem 40: 7
Rolagem 41: 5
Rolagem 42: 4
Rolagem 43: 13
Rolagem 44: 6
Rolagem 45: 12
Rolagem 46: 15
Rolagem 47: 1
Rolagem 48: 11
Rolagem 49: 20
Rolagem 50: 20
Rolagem 51: 5
Rolagem 52: 19
Rolagem 53: 16
Rolagem 54: 2
Rolagem 55: 19
Rolagem 56: 4
Rolagem 57: 17
Rolagem 58: 10
Rolagem 59: 13
Rolagem 60: 15
Rolagem 61: 20
Rolagem 62: 18
Rolagem 63: 8
Rolagem 64: 4
Rolagem 65: 15
Rolagem 66: 14
Rolagem 67: 16
Rolagem 68: 3
Rolagem 69: 18
Rolagem 70: 5
Rolagem 71: 13
Rolagem 72: 3
Rolagem 73: 15
Rolagem 74: 16
Rolagem 75: 11
Rolagem 76: 13
Rolagem 77: 5
Rolagem 78: 3
Rolagem 79: 12
Rolagem 80: 10
Rolagem 81: 18
Rolagem 82: 13
Rolagem 83: 14
Rolagem 84: 13
Rolagem 85: 5
Rolagem 86: 17
Rolagem 87: 20
Rolagem 88: 9
Rolagem 89: 2
Rolagem 90: 19
Rolagem 91: 1
Rolagem 92: 15
Rolagem 93: 2
Rolagem 94: 14
Rolagem 95: 8
Rolagem 96: 3
Rolagem 97: 11
Rolagem 98: 20
Rolagem 99: 13
Rolagem 100: 2
Rolagem 101: 17
Rolagem 102: 1
Rolagem 103: 6
Rolagem 104: 16
Rolagem 105: 17
Rolagem 106: 4
Rolagem 107: 7
Rolagem 108: 20
Rolagem 109: 16
Rolagem 110: 2
Rolagem 111: 11
Rolagem 112: 4
Rolagem 113: 9
Rolagem 114: 11
Rolagem 115: 12
Rolagem 116: 1
Rolagem 117: 18
Rolagem 118: 5
Rolagem 119: 15
Rolagem 120: 11
Rolagem 121: 2
Rolagem 122: 12
Rolagem 123: 20
Rolagem 124: 14
Rolagem 125: 14
Rolagem 126: 19
Rolagem 127: 3
Rolagem 128: 16
Rolagem 129: 10
Rolagem 130: 8
Rolagem 131: 14
Rolagem 132: 1
Rolagem 133: 17
Rolagem 134: 1
Rolagem 135: 17
Rolagem 136: 3
Rolagem 137: 3
Rolagem 138: 12
Rolagem 139: 1
Rolagem 140: 17
Rolagem 141: 11
Rolagem 142: 1
Rolagem 143: 2
Rolagem 144: 12
Rolagem 145: 20
Rolagem 146: 4
Rolagem 147: 10
Rolagem 148: 4
Rolagem 149: 14
Rolagem 150: 6

Sessão 4:
Rolagem 1: 17
Rolagem 2: 1
Rolagem 3: 2
Rolagem 4: 14
Rolagem 5: 13
Rolagem 6: 3
Rolagem 7: 5
Rolagem 8: 15
Rolagem 9: 4
Rolagem 10: 19
Rolagem 11: 20
Rolagem 12: 13
Rolagem 13: 11
Rolagem 14: 9
Rolagem 15: 19
Rolagem 16: 4
Rolagem 17: 4
Rolagem 18: 18
Rolagem 19: 3
Rolagem 20: 3
Rolagem 21: 14
Rolagem 22: 10
Rolagem 23: 8
Rolagem 24: 12
Rolagem 25: 12
Rolagem 26: 20
Rolagem 27: 15
Rolagem 28: 16
Rolagem 29: 17
Rolagem 30: 6
Rolagem 31: 5
Rolagem 32: 2
Rolagem 33: 13
Rolagem 34: 11
Rolagem 35: 15
Rolagem 36: 1
Rolagem 37: 9
Rolagem 38: 20
Rolagem 39: 14
Rolagem 40: 11

