Histórico de rolagens para Jaeyk

Sessão 1:
Rolagem 108: 14
Rolagem 109: 16
Rolagem 110: 4
Rolagem 111: 17
Rolagem 112: 8
Rolagem 113: 17
Rolagem 114: 8
Rolagem 115: 15
Rolagem 116: 20
Rolagem 117: 19
Rolagem 118: 3
Rolagem 119: 12
Rolagem 120: 3
Rolagem 121: 12
Rolagem 122: 1
Rolagem 123: 19
Rolagem 124: 14
Rolagem 125: 4
Rolagem 126: 14
Rolagem 127: 6
Rolagem 128: 13
Rolagem 129: 10
Rolagem 130: 10
Rolagem 131: 17
Rolagem 132: 15
Rolagem 133: 8
Rolagem 134: 5
Rolagem 135: 19
Rolagem 136: 16
Rolagem 137: 19
Rolagem 138: 18
Rolagem 139: 11
Rolagem 140: 10
Rolagem 141: 4
Rolagem 142: 10
Rolagem 143: 13
Rolagem 144: 9
Rolagem 145: 18
Rolagem 146: 18
Rolagem 147: 17
Rolagem 148: 8
Rolagem 149: 5
Rolagem 150: 12

Sessão 4:
Rolagem 1: 16
Rolagem 2: 2
Rolagem 3: 3
Rolagem 4: 6
Rolagem 5: 13
Rolagem 6: 8
Rolagem 7: 4
Rolagem 8: 9
Rolagem 9: 5
Rolagem 10: 20
Rolagem 11: 7
Rolagem 12: 3
Rolagem 13: 3
Rolagem 14: 8
Rolagem 15: 18
Rolagem 16: 19
Rolagem 17: 5
Rolagem 18: 4
Rolagem 19: 11
Rolagem 20: 16
Rolagem 21: 9
Rolagem 22: 14
Rolagem 23: 9
Rolagem 24: 13
Rolagem 25: 17
Rolagem 26: 4
Rolagem 27: 1
Rolagem 28: 18
Rolagem 29: 18
Rolagem 30: 7
Rolagem 31: 6
Rolagem 32: 7
Rolagem 33: 5
Rolagem 34: 4
Rolagem 35: 6
Rolagem 36: 19
Rolagem 37: 13
Rolagem 38: 7
Rolagem 39: 15
Rolagem 40: 12

